feature,bucket,n,winrate,avg_netR
x_trig_wt2,"(-21.153000000000002, 38.205]",103,0.5728155339805825,0.06131044664644012
x_trig_wt2,"(38.205, 48.761]",102,0.5980392156862745,0.11179481781958629
x_trig_wt2,"(48.761, 57.824]",102,0.5686274509803921,0.05479855097938384
x_trig_wt2,"(57.824, 66.682]",102,0.49019607843137253,-0.10247751381408395
x_trig_wt2,"(66.682, 86.668]",102,0.38235294117647056,-0.31567803247023596
x_trig_mfi,"(-21.004, 3.318]",103,0.5436893203883495,0.0016490112752465193
x_trig_mfi,"(3.318, 11.265]",102,0.5686274509803921,0.05195070615178002
x_trig_mfi,"(11.265, 19.686]",102,0.5294117647058824,-0.0219266638363612
x_trig_mfi,"(19.686, 27.336]",102,0.5196078431372549,-0.04734825775338854
x_trig_mfi,"(27.336, 60.655]",102,0.45098039215686275,-0.17399161064313562
x_wt_pivot_osc,"(-20.988, 45.021]",103,0.5242718446601942,-0.036322718250887245
x_wt_pivot_osc,"(45.021, 53.539]",102,0.5686274509803921,0.04942682726135976
x_wt_pivot_osc,"(53.539, 61.72]",102,0.5294117647058824,-0.025059879930312487
x_wt_pivot_osc,"(61.72, 70.323]",102,0.5392156862745098,-0.00225161093949804
x_wt_pivot_osc,"(70.323, 94.957]",102,0.45098039215686275,-0.17508716108842148
x_wt_anchor_osc,"(18.764, 59.297]",103,0.5728155339805825,0.06078206779389523
x_wt_anchor_osc,"(59.297, 68.764]",102,0.5098039215686274,-0.06837123671837575
x_wt_anchor_osc,"(68.764, 76.71]",102,0.5686274509803921,0.056102113825340624
x_wt_anchor_osc,"(76.71, 84.059]",102,0.5,-0.08100955120743727
x_wt_anchor_osc,"(84.059, 118.401]",102,0.46078431372549017,-0.1577499443475037
x_mfi_pivot_osc,"(-21.004, 4.12]",103,0.5339805825242718,-0.016677065958860746
x_mfi_pivot_osc,"(4.12, 12.101]",102,0.5294117647058824,-0.028309620561281428
x_mfi_pivot_osc,"(12.101, 19.986]",102,0.5980392156862745,0.11426650539478164
x_mfi_pivot_osc,"(19.986, 28.409]",102,0.5098039215686274,-0.06455535167213604
x_mfi_pivot_osc,"(28.409, 60.655]",102,0.4411764705882353,-0.19421161458449848
x_mfi_anchor_osc,"(2.512, 9.011]",103,0.5242718446601942,-0.038877514392642594
x_mfi_anchor_osc,"(9.011, 16.909]",102,0.5392156862745098,-0.009122790509022276
x_mfi_anchor_osc,"(16.909, 24.399]",102,0.5588235294117647,0.03863797585850028
x_mfi_anchor_osc,"(24.399, 32.038]",102,0.5196078431372549,-0.04591714606065104
x_mfi_anchor_osc,"(32.038, 61.592]",102,0.47058823529411764,-0.13399002082294623
x_h1_wt2,"(-36.082, 25.475]",103,0.5533980582524272,0.02313999840039218
x_h1_wt2,"(25.475, 44.895]",102,0.5588235294117647,0.034132516828999086
x_h1_wt2,"(44.895, 57.984]",102,0.5490196078431373,0.015444638801440808
x_h1_wt2,"(57.984, 71.3]",102,0.5098039215686274,-0.06717453157728305
x_h1_wt2,"(71.3, 102.495]",102,0.4411764705882353,-0.19542013321161522
x_h4_wt2,"(-87.269, -24.313]",103,0.49514563106796117,-0.09502111948201233
x_h4_wt2,"(-24.313, 7.734]",102,0.5784313725490197,0.06984378065436561
x_h4_wt2,"(7.734, 34.224]",102,0.5882352941176471,0.09048929547324065
x_h4_wt2,"(34.224, 59.306]",102,0.5098039215686274,-0.062123909850610386
x_h4_wt2,"(59.306, 100.25]",102,0.4411764705882353,-0.19190711522086923
x_h1_mfi,"(-41.733, -2.54]",103,0.5339805825242718,-0.017769095595261745
x_h1_mfi,"(-2.54, 6.227]",102,0.6078431372549019,0.1292894091595754
x_h1_mfi,"(6.227, 14.856]",102,0.5980392156862745,0.11023536663448319
x_h1_mfi,"(14.856, 25.737]",102,0.43137254901960786,-0.21961074228556848
x_h1_mfi,"(25.737, 52.053]",102,0.4411764705882353,-0.1916213791223175
x_h4_mfi,"(-49.308, -11.701]",103,0.5436893203883495,0.0034965174562210494
x_h4_mfi,"(-11.701, -0.827]",102,0.5,-0.08568377023126028
x_h4_mfi,"(-0.827, 11.769]",102,0.49019607843137253,-0.10581373547139883
x_h4_mfi,"(11.769, 22.112]",103,0.5631067961165048,0.043422774216500454
x_h4_mfi,"(22.112, 48.951]",101,0.5148514851485149,-0.045983243163776624
x_h1_wt2_wave,"(-95.36, -40.972]",103,0.5436893203883495,0.0006278196252154671
x_h1_wt2_wave,"(-40.972, -5.956]",102,0.5588235294117647,0.03130392965158812
x_h1_wt2_wave,"(-5.956, 27.988]",102,0.5294117647058824,-0.027299330009252772
x_h1_wt2_wave,"(27.988, 60.406]",102,0.47058823529411764,-0.14003131555235446
x_h1_wt2_wave,"(60.406, 100.748]",102,0.5098039215686274,-0.05425790683821178
x_h4_wt2_wave,"(-102.87, -60.509]",103,0.5145631067961165,-0.05662201026010247
x_h4_wt2_wave,"(-60.509, -33.958]",102,0.5,-0.08452826801227818
x_h4_wt2_wave,"(-33.958, 11.378]",103,0.5728155339805825,0.06106463264858235
x_h4_wt2_wave,"(11.378, 47.462]",101,0.49504950495049505,-0.0925441591616337
x_h4_wt2_wave,"(47.462, 94.266]",102,0.5294117647058824,-0.01797169404272949
