feature,bucket,n,winrate,avg_netR
x_trig_wt2,"(-59.842999999999996, 15.242]",342,0.30116959064327486,-0.17874868116693507
x_trig_wt2,"(15.242, 34.66]",341,0.3284457478005865,-0.1006122366680282
x_trig_wt2,"(34.66, 47.886]",341,0.3284457478005865,-0.1005002565900006
x_trig_wt2,"(47.886, 59.945]",341,0.33724340175953077,-0.07200172958898111
x_trig_wt2,"(59.945, 108.671]",341,0.3255131964809384,-0.10899848457851515
x_trig_mfi,"(-5.611000000000001, 3.612]",342,0.3216374269005848,-0.12162570671187106
x_trig_mfi,"(3.612, 8.055]",341,0.3225806451612903,-0.11780365211348634
x_trig_mfi,"(8.055, 14.404]",341,0.3548387096774194,-0.019718634871265964
x_trig_mfi,"(14.404, 21.84]",341,0.3196480938416422,-0.12618557763108965
x_trig_mfi,"(21.84, 53.133]",341,0.3020527859237537,-0.17569533331886747
x_mfi_pivot_osc,"(2.5140000000000002, 6.2]",342,0.3304093567251462,-0.09504712290312566
x_mfi_pivot_osc,"(6.2, 10.953]",341,0.31085043988269795,-0.15361201930509583
x_mfi_pivot_osc,"(10.953, 17.395]",341,0.35777126099706746,-0.010669522619360458
x_mfi_pivot_osc,"(17.395, 24.676]",341,0.30498533724340177,-0.17184770658002352
x_mfi_pivot_osc,"(24.676, 56.729]",341,0.31671554252199413,-0.1299304762999978
x_mfi_anchor_osc,"(2.744, 10.194]",342,0.34502923976608185,-0.05412293662252659
x_mfi_anchor_osc,"(10.194, 16.114]",341,0.3284457478005865,-0.10086449055923805
x_mfi_anchor_osc,"(16.114, 21.739]",341,0.3255131964809384,-0.10727210616301663
x_mfi_anchor_osc,"(21.739, 29.024]",341,0.30791788856304986,-0.1597090270875404
x_mfi_anchor_osc,"(29.024, 60.867]",341,0.31378299120234604,-0.13925829955176422
x_h1_wt2,"(-71.43700000000001, 8.317]",342,0.32748538011695905,-0.10434291003769228
x_h1_wt2,"(8.317, 31.983]",341,0.34017595307917886,-0.0671244775279976
x_h1_wt2,"(31.983, 47.1]",341,0.31378299120234604,-0.14015275894901996
x_h1_wt2,"(47.1, 61.16]",341,0.3196480938416422,-0.12496305925233171
x_h1_wt2,"(61.16, 100.4]",341,0.3196480938416422,-0.12449638156773307
x_h4_wt2,"(-92.02600000000001, -26.74]",342,0.3508771929824561,-0.03354467661726953
x_h4_wt2,"(-26.74, 7.978]",341,0.3489736070381232,-0.03972119094400167
x_h4_wt2,"(7.978, 36.235]",341,0.3020527859237537,-0.18087443879438012
x_h4_wt2,"(36.235, 58.474]",341,0.2697947214076246,-0.27449626971128244
x_h4_wt2,"(58.474, 104.085]",341,0.3489736070381232,-0.03265063072068658
x_h1_mfi,"(-38.858999999999995, -5.309]",342,0.34502923976608185,-0.04873543020353045
x_h1_mfi,"(-5.309, 5.35]",341,0.34310850439882695,-0.056323213180915585
x_h1_mfi,"(5.35, 14.464]",341,0.31671554252199413,-0.14006687250071753
x_h1_mfi,"(14.464, 23.884]",341,0.2697947214076246,-0.27377377350256366
x_h1_mfi,"(23.884, 58.829]",341,0.3460410557184751,-0.042343369735417295
x_h4_mfi,"(-54.647999999999996, -12.832]",342,0.3713450292397661,0.03035520948055032
x_h4_mfi,"(-12.832, -1.752]",341,0.2932551319648094,-0.20731088824960167
x_h4_mfi,"(-1.752, 9.101]",341,0.3196480938416422,-0.1281973064517412
x_h4_mfi,"(9.101, 20.647]",341,0.3255131964809384,-0.10900138250055073
x_h4_mfi,"(20.647, 54.087]",341,0.31085043988269795,-0.1473202287615786
x_h1_wt2_wave,"(-103.054, -32.983]",342,0.31871345029239767,-0.13115954663488372
x_h1_wt2_wave,"(-32.983, 13.543]",341,0.33724340175953077,-0.0737901292849615
x_h1_wt2_wave,"(13.543, 45.92]",341,0.31378299120234604,-0.14276860233568045
x_h1_wt2_wave,"(45.92, 68.738]",341,0.31671554252199413,-0.13357156965831227
x_h1_wt2_wave,"(68.738, 104.37]",341,0.3343108504398827,-0.079711098257895
x_h4_wt2_wave,"(-104.086, -60.509]",343,0.3556851311953353,-0.017932103110139087
x_h4_wt2_wave,"(-60.509, -35.245]",340,0.3205882352941177,-0.1221377703747265
x_h4_wt2_wave,"(-35.245, 8.958]",341,0.3225806451612903,-0.11908461185549336
x_h4_wt2_wave,"(8.958, 47.678]",341,0.2991202346041056,-0.18826227374596652
x_h4_wt2_wave,"(47.678, 104.085]",341,0.3225806451612903,-0.11422182084138786
