feature,bucket,n,winrate,avg_netR
x_trig_wt2,"(-10.565, 31.817]",425,0.5176470588235295,-0.043116880218930426
x_trig_wt2,"(31.817, 42.01]",424,0.5212264150943396,-0.036767891191867096
x_trig_wt2,"(42.01, 50.633]",425,0.52,-0.042063617240074964
x_trig_wt2,"(50.633, 60.272]",424,0.5070754716981132,-0.06820659923913988
x_trig_wt2,"(60.272, 92.039]",425,0.5011764705882353,-0.07854997280959358
x_trig_mfi,"(-38.702, 1.985]",425,0.5317647058823529,-0.019115339656713186
x_trig_mfi,"(1.985, 10.628]",424,0.535377358490566,-0.01118325615976499
x_trig_mfi,"(10.628, 18.137]",425,0.5176470588235295,-0.048115328583907116
x_trig_mfi,"(18.137, 26.579]",424,0.5070754716981132,-0.0663255539351469
x_trig_mfi,"(26.579, 58.284]",425,0.4752941176470588,-0.12390085723387116
x_wt_pivot_osc,"(15.757, 44.829]",425,0.52,-0.04305308919883743
x_wt_pivot_osc,"(44.829, 52.943]",424,0.5070754716981132,-0.06772142627718238
x_wt_pivot_osc,"(52.943, 60.178]",425,0.52,-0.04222963065144714
x_wt_pivot_osc,"(60.178, 68.841]",424,0.5070754716981132,-0.06379746783710197
x_wt_pivot_osc,"(68.841, 101.142]",425,0.5129411764705882,-0.05196580415546824
x_wt_anchor_osc,"(21.142999999999997, 57.656]",425,0.5270588235294118,-0.028103970314661077
x_wt_anchor_osc,"(57.656, 67.409]",424,0.5165094339622641,-0.05218853087552812
x_wt_anchor_osc,"(67.409, 75.331]",426,0.539906103286385,-1.69522956818949e-06
x_wt_anchor_osc,"(75.331, 83.633]",424,0.5188679245283019,-0.041567512205083576
x_wt_anchor_osc,"(83.633, 118.138]",424,0.46462264150943394,-0.14716311789904515
x_h1_wt2,"(-59.388, 14.221]",425,0.5011764705882353,-0.0813383014372147
x_h1_wt2,"(14.221, 38.262]",424,0.5283018867924528,-0.026941259200963828
x_h1_wt2,"(38.262, 52.82]",425,0.5576470588235294,0.03533411758561977
x_h1_wt2,"(52.82, 67.084]",424,0.5,-0.07948765588693588
x_h1_wt2,"(67.084, 102.789]",425,0.48,-0.11627528393577456
x_h4_wt2,"(-99.98700000000001, -39.786]",425,0.48705882352941177,-0.10702688490432649
x_h4_wt2,"(-39.786, -4.734]",424,0.5330188679245284,-0.018775783908975958
x_h4_wt2,"(-4.734, 27.84]",425,0.4894117647058824,-0.10415098861675116
x_h4_wt2,"(27.84, 52.281]",424,0.5141509433962265,-0.05152537340980661
x_h4_wt2,"(52.281, 104.502]",425,0.5435294117647059,0.01285565445345955
x_h1_mfi,"(-48.268, -6.981]",425,0.5176470588235295,-0.045553485617465264
x_h1_mfi,"(-6.981, 3.426]",424,0.5306603773584906,-0.02355237540639979
x_h1_mfi,"(3.426, 12.847]",424,0.4882075471698113,-0.10630401107907261
x_h1_mfi,"(12.847, 23.026]",424,0.5047169811320755,-0.0730083010443772
x_h1_mfi,"(23.026, 56.879]",425,0.5247058823529411,-0.02279810230049114
x_h4_mfi,"(-50.366, -14.962]",425,0.49411764705882355,-0.08934333337957272
x_h4_mfi,"(-14.962, -3.382]",424,0.4716981132075472,-0.14057984444674945
x_h4_mfi,"(-3.382, 6.098]",425,0.5176470588235295,-0.05009388271848916
x_h4_mfi,"(6.098, 18.377]",424,0.535377358490566,-0.011240751100954913
x_h4_mfi,"(18.377, 55.791]",425,0.548235294117647,0.02244262481647396
x_h1_wt2_wave,"(-103.054, -53.738]",425,0.5035294117647059,-0.07582648265975422
x_h1_wt2_wave,"(-53.738, -24.53]",424,0.5212264150943396,-0.04040736147647864
x_h1_wt2_wave,"(-24.53, 17.413]",425,0.4894117647058824,-0.1015202953962038
x_h1_wt2_wave,"(17.413, 55.015]",424,0.5400943396226415,0.0004355519190983409
x_h1_wt2_wave,"(55.015, 104.37]",425,0.5129411764705882,-0.05123342560185904
x_h4_wt2_wave,"(-112.018, -61.349]",425,0.4682352941176471,-0.14366413515280893
x_h4_wt2_wave,"(-61.349, -32.258]",424,0.5117924528301887,-0.05596247314324482
x_h4_wt2_wave,"(-32.258, 12.618]",425,0.5341176470588235,-0.013894744995963406
x_h4_wt2_wave,"(12.618, 50.464]",424,0.5306603773584906,-0.020451055827046587
x_h4_wt2_wave,"(50.464, 106.2]",425,0.5223529411764706,-0.03466534931828169
