feature,n_win,n_loss,mean_win,mean_loss,med_win,med_loss,mw_p,cliffs_d
x_wt_anchor_osc,718,1403,69.7562771328017,71.30110087777473,70.74890816759356,71.96619666170679,0.03682054186489563,-0.05532315352894812
x_h4_mfi_wave,718,1403,-1.1512607319290369,-2.759010279134341,-0.004977170436223477,-3.4451025310973433,0.044939597821545274,0.05313623611957663
x_trig_mfi,718,1403,13.615099368301042,14.897652337950484,13.301329697983068,15.0226488827678,0.05521012669158313,-0.05080438455597536
atr_pct,718,1403,0.005160580253352002,0.005397487639814653,0.004664620536268978,0.004769930659361404,0.14350197450383295,-0.038764922758037446
x_trig_wt1,718,1403,33.64178885459298,35.09684999634821,35.37721682018062,37.01896974031321,0.1572013749452201,-0.037484340162445395
x_trig_wt2,718,1403,44.78791594021801,45.88591784646244,45.85687413578832,47.11315078548905,0.19866085234523811,-0.034061511643374676
x_h4_mfi,718,1403,2.2687560086729817,1.269068047966137,2.2368696009120943,0.8456301986730744,0.22087680547324584,0.03244043305531119
x_h4_wt2_wave,718,1403,-4.3763953901149195,-7.0688785952991084,-6.205236631054294,-13.133794131991829,0.2589891351133652,0.029912026953781812
x_wt_div_delta,718,1403,13.686946136857104,14.72763508905522,10.905093188716478,11.370306935910392,0.34973587537017536,-0.02477976957454875
x_h4_wt2,718,1403,9.372388117720378,7.647248334336121,14.405890287597767,11.65446792459601,0.3732865415380263,0.02359349344917483
h1_wt2_wave_aligned,718,1403,0.22841225626740946,0.21240199572344975,0.0,0.0,0.39807871683975715,0.01601026054395982
x_h1_mfi_wave,717,1403,0.6005204998632758,0.021693787082748932,1.9401365613127601,0.8072472273190144,0.4034258089454611,0.022151178337712185
x_wt_div_price,718,1403,0.6789543390283151,0.7192476129642381,0.4188853568152695,0.4213387929982484,0.41421684161073247,-0.021636882367072507
x_wt_pivot_osc,718,1403,56.0693309959446,56.57346578871952,56.576019199497146,56.7383292644856,0.5605296154350417,-0.015424567728921534
x_h1_wt2,718,1403,40.26519993977424,40.38265273049699,45.02685166268414,45.89364789689429,0.5670579916481713,-0.015168451209803147
x_h1_mfi,717,1403,8.115570443073171,7.712218309187945,8.652025303644049,7.972686277192881,0.6456641725196777,0.012190454604647849
wt_anchor_age,718,1403,25.207520891364904,25.034212401995724,17.0,18.0,0.6992522909335791,-0.010232748368498079
h1_wt2_wave_age,718,1403,6.782729805013927,6.5837491090520315,6.0,6.0,0.7409544674056234,0.00871689594720415
h4_wt2_wave_aligned,718,1403,0.3788300835654596,0.37562366357804705,0.0,0.0,0.885397444922189,0.0032064199874126675
h4_wt2_wave_age,718,1403,6.405292479108635,6.466143977191732,5.0,5.0,0.9843753185304104,-0.0005171965366693732
x_h1_wt2_wave,718,1403,-0.5826281120373537,-0.5715477465710376,-3.702189335722747,-5.890236280075011,0.9890902117263601,0.0003633280852610721
gap_bars,718,1403,0.0,0.0,0.0,0.0,1.0,0.0
